club,nation,league,name,rating,position,price,card_types
FUT 21 ICONS,Finland,Icons,Jari Litmanen,88,CAM,146K,icon gold rare
FUT 21 ICONS,Ukraine,Icons,Andriy Shevchenko,88,ST,192K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Frank Rijkaard,88,CB,498K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Javier Zanetti,88,RB,345K,icon gold rare
FUT 21 ICONS,France,Icons,Marcel Desailly,88,CDM,1.07M,icon gold rare
FUT 21 ICONS,Italy,Icons,Franco Baresi,88,CB,211K,icon gold rare
FUT 21 ICONS,Republic of Ireland,Icons,Roy Keane,88,CM,286K,icon gold rare
FUT 21 ICONS,Japan,Icons,Hidetoshi Nakata,88,CAM,222K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Clarence Seedorf,88,CM,1.06M,icon gold rare
FUT 21 ICONS,England,Icons,Frank Lampard,88,CM,169K,icon gold rare
FUT 21 ICONS,Spain,Icons,Raúl González Blanco,88,CF,331K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ronald Koeman,88,CB,431K,icon gold rare
FUT 21 ICONS,Italy,Icons,Andrea Pirlo,88,CM,316K,icon gold rare
Spurs,England,Premier League,Harry Kane,88,ST,43.75K,gold rare
Manchester City,England,Premier League,Raheem Sterling,88,LW,44.25K,gold rare
Manchester City,Brazil,Premier League,Ederson,88,GK,42K,gold rare
Chelsea,France,Premier League,N'Golo Kanté,88,CDM,123K,gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,88,CDM,46K,gold rare
Real Madrid,Germany,LaLiga Santander,Toni Kroos,88,CM,43.75K,gold rare
Real Madrid,Belgium,LaLiga Santander,Eden Hazard,88,LW,45K,gold rare
Piemonte Calcio,Argentina,Serie A TIM,Paulo Dybala,88,CF,43K,gold rare
Inter,Slovenia,Serie A TIM,Samir Handanovic,88,GK,41.5K,gold rare
Napoli,Senegal,Serie A TIM,Kalidou Koulibaly,88,CB,44K,gold rare
FUT 21 ICONS,France,Icons,Éric Cantona,88,CF,1.8M,icon gold rare
FUT 21 ICONS,Spain,Icons,Fernando Torres,88,ST,770K,icon gold rare
FUT 21 ICONS,Spain,Icons,Xavier Hernández,88,CM,419K,icon gold rare
FUT 21 ICONS,Serbia,Icons,Nemanja Vidić,88,CB,258K,icon gold rare
FUT 21 ICONS,Czech Republic,Icons,Petr Cech,88,GK,380K,icon gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,88,CAM,480K,if gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Luis Suárez,88,ST,68.5K,if gold rare
Liverpool,Brazil,Premier League,Roberto Firmino,88,ST,165K,if gold rare
Chelsea,France,Premier League,N'Golo Kanté,88,CDM,133K,ucl_rare gold rare
Inter,Slovenia,Serie A TIM,Samir Handanovic,88,GK,41.25K,ucl_rare gold rare
Real Madrid,Germany,LaLiga Santander,Toni Kroos,88,CM,44K,ucl_rare gold rare
Real Madrid,Belgium,LaLiga Santander,Eden Hazard,88,LW,45K,ucl_rare gold rare
Piemonte Calcio,Argentina,Serie A TIM,Paulo Dybala,88,CF,43.5K,ucl_rare gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,88,CDM,46.75K,ucl_rare gold rare
Manchester City,England,Premier League,Raheem Sterling,88,LW,45.5K,ucl_rare gold rare
Manchester City,Brazil,Premier League,Ederson,88,GK,43.75K,ucl_rare gold rare
Manchester City,France,Premier League,Aymeric Laporte,88,CB,575K,halloween gold rare
Paris SG,Argentina,Ligue 1 Conforama,Ángel Di María,88,RW,365K,halloween gold rare
Real Sociedad,Spain,LaLiga Santander,Oyarzabal,88,LW,0,potm_laliga gold rare
Dortmund,England,Bundesliga,Jadon Sancho,88,RM,384K,bluered gold rare
Leicester City,England,Premier League,Jamie Vardy,88,ST,530K,bluered gold rare
FC Barcelona,France,LaLiga Santander,Antoine Griezmann,88,LW,110K,if gold rare
Paris SG,Costa Rica,Ligue 1 Conforama,Keylor Navas,88,GK,62K,ucl_tott gold rare
Atalanta,Argentina,Serie A TIM,Alejandro Gómez,88,CAM,170K,ucl_tott gold rare
Liverpool,England,Premier League,Trent Alexander-Arnold,88,RB,157K,ucl_tott gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,88,ST,220K,ucl_tott gold rare
Lazio,Italy,Serie A TIM,Ciro Immobile,88,ST,83.65K,ucl_tott gold rare
Spurs,Korea Republic,Premier League,Heung Min Son,88,LM,300K,if gold rare
Paris SG,Italy,Ligue 1 Conforama,Marco Verratti,88,LM,110K,futmas gold rare
Manchester City,Portugal,Premier League,Bernardo Silva,88,CAM,487K,futmas gold rare
Leicester City,England,Premier League,Jamie Vardy,88,ST,240K,if gold rare
Real Madrid,France,LaLiga Santander,Raphaël Varane,88,CB,1.79M,ucl_live gold rare
FC Bayern,Germany,Bundesliga,Serge Gnabry,88,CAM,241.05K,futmas gold rare
Sevilla FC,Argentina,LaLiga Santander,Marcos Acuña,88,LB,163.2K,showdown_plus gold rare
Manchester Utd,England,Premier League,Marcus Rashford,88,LM,1.36M,if gold rare
FC Groningen,Netherlands,Eredivisie (NED 1),Arjen Robben,88,RM,143.8K,sbc_flashback gold rare
Liverpool,Brazil,Premier League,Fabinho,88,CB,206K,headliners gold rare
Real Sociedad,Spain,LaLiga Santander,Oyarzabal,88,LW,50.5K,headliners gold rare
Manchester City,Algeria,Premier League,Riyad Mahrez,88,RW,190.9K,headliners_2 gold rare
FC Bayern,Germany,Bundesliga,Leon Goretzka,88,CM,570K,headliners_2 gold rare
FC Bayern,Germany,Bundesliga,Thomas Müller,88,CAM,59K,if gold rare
Manchester Utd,France,Premier League,Paul Pogba,88,CDM,455K,if gold rare
Manchester City,Portugal,Premier League,Bernardo Silva,88,CF,106K,if gold rare
Sevilla FC,Spain,LaLiga Santander,Jesús Navas,88,RB,163K,toty_nominee gold rare
Real Betis,France,LaLiga Santander,Nabil Fekir,88,CAM,315K,toty_nominee gold rare
RB Leipzig,Austria,Bundesliga,Marcel Sabitzer,88,CM,579.75K,toty_nominee gold rare
Inter,Argentina,Serie A TIM,Lautaro Martínez,88,ST,296K,if gold rare
Piemonte Calcio,Italy,Serie A TIM,Giorgio Chiellini,88,CB,65K,if gold rare
Lazio,Serbia,Serie A TIM,Sergej Milinkovic-Savic,88,CM,103K,if gold rare
FC Barcelona,United States,LaLiga Santander,Sergiño Dest,88,RB,372K,future_stars gold rare
Piemonte Calcio,Sweden,Serie A TIM,Kulusevski,88,RW,498K,future_stars gold rare
Leicester City,England,Premier League,Harvey Barnes,88,CAM,439K,future_stars gold rare
RB Leipzig,Hungary,Bundesliga,Dominik Szoboszlai,88,LM,540K,future_stars gold rare
OL,Netherlands,Ligue 1 Conforama,Memphis Depay,88,CF,230K,if gold rare
Ajax,Brazil,Eredivisie (NED 1),Antony Matheus dos Santos,88,CAM,603K,future_stars gold rare
M'gladbach,Germany,Bundesliga,Florian Neuhaus,88,CM,150K,future_stars gold rare
Liverpool,England,Premier League,Curtis Jones,88,CM,384.15K,future_stars gold rare
Manchester City,Portugal,Premier League,Rúben Santos Gato Alves Dias,88,CB,289K,future_stars gold rare
Liverpool,England,Premier League,Curtis Jones,88,LM,384.15K,future_stars gold rare
OL,Italy,Ligue 1 Conforama,Mattia De Sciglio,88,RB,0,objective_reward gold rare
Real Sociedad,Belgium,LaLiga Santander,Adnan Januzaj,88,RW,0,objective_reward gold rare
Roma FC,Italy,Serie A TIM,Stephan El Shaarawy,88,LW,232.5K,sbc_flashback gold rare
Arsenal,Gabon,Premier League,Aubameyang,88,ST,416K,if gold rare
Inter,Belgium,Serie A TIM,Romelu Lukaku,88,ST,88.5K,if gold rare
FUT 21 ICONS,Italy,Icons,Gennaro Gattuso,87,CDM,270K,icon gold rare
FUT 21 ICONS,Germany,Icons,Miroslav Klose,87,ST,149K,icon gold rare
FUT 21 ICONS,Sweden,Icons,Henrik Larsson,87,ST,144K,icon gold rare
FUT 21 ICONS,France,Icons,Thierry Henry,87,LW,523K,icon gold rare
FUT 21 ICONS,Italy,Icons,Alessandro Del Piero,87,CF,1.03M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Dennis Bergkamp,87,CF,179K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Hernán Crespo,87,ST,261K,icon gold rare
FUT 21 ICONS,Mexico,Icons,Luis Hernández,87,ST,391K,icon gold rare
FUT 21 ICONS,Portugal,Icons,Anderson Luís de Souza,87,CAM,165K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Edwin van der Sar,87,GK,469K,icon gold rare
FUT 21 ICONS,Italy,Icons,Fabio Cannavaro,87,CB,915K,icon gold rare
FUT 21 ICONS,Italy,Icons,Filippo Inzaghi,87,ST,146K,icon gold rare
FUT 21 ICONS,Nigeria,Icons,Jay-Jay Okocha,87,RM,191K,icon gold rare
FUT 21 ICONS,Italy,Icons,Gianfranco Zola,87,CF,538K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Javier Zanetti,87,LB,415K,icon gold rare
FUT 21 ICONS,Wales,Icons,Ryan Giggs,87,LM,175K,icon gold rare
FUT 21 ICONS,England,Icons,Gary Lineker,87,ST,150K,icon gold rare
FUT 21 ICONS,France,Icons,Marcel Desailly,87,CB,1.36M,icon gold rare
FUT 21 ICONS,England,Icons,Bobby Moore,87,CB,205K,icon gold rare
FUT 21 ICONS,England,Icons,Paul Scholes,87,CM,160K,icon gold rare
FUT 21 ICONS,Bulgaria,Icons,Hristo Stoichkov,87,ST,482K,icon gold rare
FUT 21 ICONS,England,Icons,Alan Shearer,87,ST,150K,icon gold rare
FUT 21 ICONS,Spain,Icons,Emilio Butragueño,87,ST,1.02M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Sócrates,87,CAM,415K,icon gold rare
FUT 21 ICONS,France,Icons,Claude Makélélé,87,CDM,648K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Rivaldo,87,CAM,370K,icon gold rare
FUT 21 ICONS,England,Icons,Sol Campbell,87,CB,710K,icon gold rare
FUT 21 ICONS,Spain,Icons,Pep Guardiola,87,CDM,291K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Kaká,87,CAM,739K,icon gold rare
FUT 21 ICONS,Ghana,Icons,Michael Essien,87,CDM,641K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Carlos Alberto Torres,87,CB,1.19M,icon gold rare
FUT 21 ICONS,England,Icons,John Barnes,87,LW,165K,icon gold rare
FUT 21 ICONS,Mexico,Icons,Hugo Sánchez,87,ST,285K,icon gold rare
FUT 21 ICONS,Côte d'Ivoire,Icons,Didier Drogba,87,ST,560K,icon gold rare
FUT 21 ICONS,Scotland,Icons,Kenny Dalglish,87,ST,1.23M,icon gold rare
FUT 21 ICONS,Wales,Icons,Ian Rush,87,ST,170K,icon gold rare
FUT 21 ICONS,England,Icons,Ian Wright,87,ST,148K,icon gold rare
FUT 21 ICONS,Italy,Icons,Gianluca Zambrotta,87,LB,530K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Riquelme,87,CAM,162K,icon gold rare
Real Madrid,Croatia,LaLiga Santander,Luka Modric,87,CM,33K,gold rare
Lazio,Italy,Serie A TIM,Ciro Immobile,87,ST,36.5K,gold rare
Arsenal,Gabon,Premier League,Aubameyang,87,ST,41.75K,gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,87,CAM,50K,gold rare
Paris SG,Argentina,Ligue 1 Conforama,Ángel Di María,87,RW,33.5K,gold rare
Dortmund,England,Bundesliga,Jadon Sancho,87,RM,35K,gold rare
Spurs,Korea Republic,Premier League,Heung Min Son,87,LM,33.75K,gold rare
FC Barcelona,Uruguay,LaLiga Santander,Luis Suárez,87,ST,0,gold rare
Liverpool,England,Premier League,Trent Alexander-Arnold,87,RB,35K,gold rare
FC Barcelona,France,LaLiga Santander,Antoine Griezmann,87,ST,34K,gold rare
Manchester City,France,Premier League,Aymeric Laporte,87,CB,35.5K,gold rare
Piemonte Calcio,Poland,Serie A TIM,Wojciech Szczesny,87,GK,32.5K,gold rare
Liverpool,Brazil,Premier League,Roberto Firmino,87,CF,32K,gold rare
Manchester City,Portugal,Premier League,Bernardo Silva,87,RW,32.5K,gold rare
Liverpool,Scotland,Premier League,Andrew Robertson,87,LB,34.75K,gold rare
Liverpool,Brazil,Premier League,Fabinho,87,CDM,33K,gold rare
Paris SG,Costa Rica,Ligue 1 Conforama,Keylor Navas,87,GK,31K,gold rare
FC Barcelona,Spain,LaLiga Santander,Sergio Busquets,87,CDM,33.75K,gold rare
Piemonte Calcio,Italy,Serie A TIM,Giorgio Chiellini,87,CB,35.5K,gold rare
Spurs,France,Premier League,Hugo Lloris,87,GK,33.5K,gold rare
FUT 21 ICONS,Germany,Icons,Philipp Lahm,87,LB,619K,icon gold rare
FUT 21 ICONS,Cameroon,Icons,Samuel Eto'o,87,ST,1.98M,icon gold rare
FUT 21 ICONS,Germany,Icons,Bastian Schweinsteiger,87,LM,318K,icon gold rare
FUT 21 ICONS,Croatia,Icons,Davor Šuker,87,ST,333K,icon gold rare
FUT 21 ICONS,England,Icons,Ashley Cole,87,LB,337K,icon gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Luis Suárez,87,ST,34K,gold rare
Atalanta,Argentina,Serie A TIM,Alejandro Gómez,87,CAM,84K,if gold rare
Leicester City,England,Premier League,Jamie Vardy,87,ST,170K,if gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,87,CAM,51.5K,ucl_rare gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Luis Suárez,87,ST,34.75K,ucl_rare gold rare
FC Barcelona,France,LaLiga Santander,Antoine Griezmann,87,ST,33K,ucl_rare gold rare
FC Barcelona,Spain,LaLiga Santander,Sergio Busquets,87,CDM,34K,ucl_rare gold rare
Real Madrid,Croatia,LaLiga Santander,Luka Modric,87,CM,34K,ucl_rare gold rare
Liverpool,Brazil,Premier League,Roberto Firmino,87,CF,35K,ucl_rare gold rare
Piemonte Calcio,Italy,Serie A TIM,Giorgio Chiellini,87,CB,36.25K,ucl_rare gold rare
Liverpool,Brazil,Premier League,Fabinho,87,CDM,33K,ucl_rare gold rare
Piemonte Calcio,Poland,Serie A TIM,Wojciech Szczesny,87,GK,32.5K,ucl_rare gold rare
Paris SG,Argentina,Ligue 1 Conforama,Ángel Di María,87,RW,34.25K,ucl_rare gold rare
Liverpool,England,Premier League,Trent Alexander-Arnold,87,RB,36K,ucl_rare gold rare
Lazio,Italy,Serie A TIM,Ciro Immobile,87,ST,35K,ucl_rare gold rare
Paris SG,Costa Rica,Ligue 1 Conforama,Keylor Navas,87,GK,31K,ucl_rare gold rare
Liverpool,Scotland,Premier League,Andrew Robertson,87,LB,35.5K,ucl_rare gold rare
Dortmund,England,Bundesliga,Jadon Sancho,87,RM,36K,ucl_rare gold rare
Manchester City,France,Premier League,Aymeric Laporte,87,CB,35K,ucl_rare gold rare
Manchester City,Portugal,Premier League,Bernardo Silva,87,RW,33K,ucl_rare gold rare
FC Bayern,Germany,Bundesliga,Thomas Müller,87,CAM,55K,if gold rare
Napoli,Belgium,Serie A TIM,Dries Mertens,87,CF,374K,halloween gold rare
FC Bayern,Brazil,Bundesliga,Douglas Costa,87,LM,350K,halloween gold rare
Real Sociedad,Spain,LaLiga Santander,David Silva,87,CM,69K,if gold rare
Dortmund,Germany,Bundesliga,Marco Reus,87,CAM,281K,halloween gold rare
Manchester Utd,France,Premier League,Paul Pogba,87,CM,799K,halloween gold rare
Inter,Belgium,Serie A TIM,Romelu Lukaku,87,ST,182K,halloween gold rare
Dortmund,Germany,Bundesliga,Mats Hummels,87,CB,74K,if gold rare
Real Madrid,Spain,LaLiga Santander,Isco,87,CAM,75.45K,ucl_live gold rare
Leicester City,Nigeria,Premier League,Wilfred Ndidi,87,CDM,335K,europa_live gold rare
SL Benfica,Spain,Liga NOS (POR 1),Grimaldo,87,LB,43.75K,europa_live gold rare
Piemonte Calcio,Brazil,Serie A TIM,Alex Sandro,87,LB,176.65K,ucl_live gold rare
M'gladbach,Switzerland,Bundesliga,Yann Sommer,87,GK,97K,if gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,87,ST,131K,if gold rare
Galatasaray,Colombia,Süper Lig (TUR 1),Radamel Falcao García Zarate,87,ST,77K,bluered gold rare
Manchester City,Argentina,Premier League,Sergio Agüero,87,ST,674K,sbc_flashback gold rare
LAFC,Mexico,Major League Soccer (MLS),Carlos Vela,87,RW,76K,bluered gold rare
AS Monaco,Spain,Ligue 1 Conforama,Cesc Fàbregas,87,CM,77.5K,bluered gold rare
Milan,Italy,Serie A TIM,Gianluigi Donnarumma,87,GK,196K,bluered gold rare
OL,Netherlands,Ligue 1 Conforama,Memphis Depay,87,CF,192.2K,f_moment gold rare
Liverpool,England,Premier League,Trent Alexander-Arnold,87,RB,0,console_de gold rare
Atlético de Madrid,Portugal,LaLiga Santander,João Félix Sequeira,87,CF,476.6K,potm_laliga gold rare
Manchester Utd,England,Premier League,Marcus Rashford,87,ST,1.28M,ucl_tott gold rare
FUT 21 ICONS,England,Icons,David Beckham,87,CM,950K,icon gold rare
Manchester Utd,France,Premier League,Paul Pogba,87,CM,347K,if gold rare
Lazio,Serbia,Serie A TIM,Sergej Milinkovic-Savic,87,CM,58K,if gold rare
Inter,Argentina,Serie A TIM,Lautaro Martínez,87,RW,290K,futmas gold rare
Paris SG,Brazil,Ligue 1 Conforama,Marquinhos,87,CDM,185.95K,futmas gold rare
Napoli,Italy,Serie A TIM,Lorenzo Insigne,87,LW,220K,europa_live gold rare
Manchester Utd,France,Premier League,Paul Pogba,87,CM,720K,europa_live gold rare
FC Bayern,Austria,Bundesliga,David Alaba,87,CB,649K,ucl_live gold rare
Liverpool,Netherlands,Premier League,Georginio Wijnaldum,87,CM,619K,ucl_live gold rare
Dortmund,Germany,Bundesliga,Julian Brandt,87,CAM,163K,ucl_live gold rare
Paris SG,Argentina,Ligue 1 Conforama,Mauro Icardi,87,ST,54.5K,ucl_live gold rare
Liverpool,England,Premier League,Jordan Henderson,87,CDM,73K,if gold rare
Bordeaux,France,Ligue 1 Conforama,Ben Arfa,87,CAM,206K,sbc_flashback gold rare
Inter,Argentina,Serie A TIM,Lautaro Martínez,87,LF,96.5K,if gold rare
Crystal Palace,Côte d'Ivoire,Premier League,Wilfried Zaha,87,ST,385K,headliners gold rare
LOSC,France,Ligue 1 Conforama,Jonathan Bamba,87,LM,500K,headliners_2 gold rare
Roma FC,Armenia,Serie A TIM,Henrikh Mkhitaryan,87,CF,90K,headliners gold rare
Atlético de Madrid,Portugal,LaLiga Santander,João Félix Sequeira,87,CF,836K,headliners_2 gold rare
Frankfurt,Austria,Bundesliga,Martin Hinteregger,87,CB,40K,headliners_2 gold rare
Chelsea,United States,Premier League,Christian Pulisic,87,LW,0,objective_reward gold rare
Inter,Belgium,Serie A TIM,Romelu Lukaku,87,ST,60.5K,if gold rare
RC Celta,Spain,LaLiga Santander,Iago Aspas,87,ST,63K,if gold rare
Napoli,Mexico,Serie A TIM,Hirving Lozano,87,RW,686K,headliners gold rare
Milan,France,Serie A TIM,Theo Hernández,87,LB,899K,headliners gold rare
Sevilla FC,Brazil,LaLiga Santander,Diego Carlos Santos Silva,87,CB,485K,headliners_2 gold rare
Villarreal CF,Spain,LaLiga Santander,Parejo,87,CM,55.5K,if gold rare
OL,Netherlands,Ligue 1 Conforama,Memphis Depay,87,CF,130K,if gold rare
Inter Miami CF,Argentina,Major League Soccer (MLS),Gonzalo Higuaín,87,ST,54.75K,sbc_flashback gold rare
AS Monaco,France,Ligue 1 Conforama,Wissam Ben Yedder,87,ST,410K,if gold rare
Napoli,Italy,Serie A TIM,Lorenzo Insigne,87,LM,71K,if gold rare
LOSC,Turkey,Ligue 1 Conforama,Yusuf Yazici,87,ST,58.2K,potm_ligue1 gold rare
Aston Villa,England,Premier League,Jack Grealish,87,CAM,0,toty_nominee gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,87,RW,318.8K,sbc_flashback gold rare
Inter,Denmark,Serie A TIM,Christian Eriksen,87,CM,60K,motm gold rare
Real Madrid,Ukraine,LaLiga Santander,Andriy Lunin,87,GK,39.25K,future_stars gold rare
OL,Brazil,Ligue 1 Conforama,Bruno Guimarães Moura,87,CM,0,future_stars gold rare
OL,Brazil,Ligue 1 Conforama,Bruno Guimarães Moura,87,CDM,0,future_stars gold rare
Chelsea,England,Premier League,Reece James,87,RB,701K,future_stars gold rare
Milan,Italy,Serie A TIM,Sandro Tonali,87,CDM,0,f_moment gold rare
FC Barcelona,Spain,LaLiga Santander,Jordi Alba,87,LB,99K,motm gold rare
Sporting CP,Portugal,Liga NOS (POR 1),Pedro António Pereira Gonçalves,87,CM,0,future_stars gold rare
Sporting CP,Portugal,Liga NOS (POR 1),Pedro António Pereira Gonçalves,87,RW,0,future_stars gold rare
Atlético de Madrid,France,LaLiga Santander,Moussa Dembélé,87,ST,223.25K,f_moment gold rare
Real Sociedad,Spain,LaLiga Santander,Oyarzabal,87,LW,51K,if gold rare
Real Madrid,France,LaLiga Santander,Raphaël Varane,87,CB,916K,if gold rare
Inter,Italy,Serie A TIM,Alessandro Bastoni,87,CB,180K,future_stars gold rare
Dortmund,Brazil,Bundesliga,Reinier,87,ST,0,future_stars gold rare
Chelsea,England,Premier League,Reece James,87,CDM,388K,future_stars gold rare
TSG Hoffenheim,England,Bundesliga,Ryan Sessegnon,87,LM,0,objective_reward gold rare
OGC Nice,France,Ligue 1 Conforama,Jean-Clair Todibo,87,CB,204.6K,future_stars gold rare
Getafe CF,Spain,LaLiga Santander,Marc Cucurella Saseta,87,LM,0,future_stars gold rare
FUT 21 ICONS,Netherlands,Icons,Patrick Kluivert,86,ST,179K,icon gold rare
FUT 21 ICONS,Spain,Icons,Carles Puyol Saforcada,86,RB,217K,icon gold rare
FUT 21 ICONS,Japan,Icons,Hidetoshi Nakata,86,CAM,143K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Roberto Carlos,86,LB,759K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Juan Sebastián Verón,86,CM,205K,icon gold rare
FUT 21 ICONS,France,Icons,Patrick Vieira,86,CM,2.59M,icon gold rare
FUT 21 ICONS,Denmark,Icons,Peter Schmeichel,86,GK,255K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud Gullit,86,CM,1.24M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marc Overmars,86,LW,148K,icon gold rare
FUT 21 ICONS,Spain,Icons,Fernando Hierro Ruiz,86,CB,254K,icon gold rare
FUT 21 ICONS,England,Icons,Michael Owen,86,ST,153K,icon gold rare
FUT 21 ICONS,Sweden,Icons,Henrik Larsson,86,ST,178K,icon gold rare
FUT 21 ICONS,Ukraine,Icons,Andriy Shevchenko,86,ST,285K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Frank Rijkaard,86,CDM,253K,icon gold rare
FUT 21 ICONS,Italy,Icons,Christian Vieri,86,ST,148K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud van Nistelrooy,86,ST,146K,icon gold rare
FUT 21 ICONS,Czech Republic,Icons,Pavel Nedvěd,86,LM,315K,icon gold rare
FUT 21 ICONS,Republic of Ireland,Icons,Roy Keane,86,CM,195K,icon gold rare
FUT 21 ICONS,France,Icons,David Trezeguet,86,ST,151K,icon gold rare
FUT 21 ICONS,England,Icons,Frank Lampard,86,CM,219K,icon gold rare
FUT 21 ICONS,England,Icons,Steven Gerrard,86,CDM,340K,icon gold rare
FUT 21 ICONS,Spain,Icons,Raúl González Blanco,86,CF,158K,icon gold rare
FUT 21 ICONS,Germany,Icons,Michael Ballack,86,CM,385K,icon gold rare
FUT 21 ICONS,England,Icons,John Barnes,86,CAM,259K,icon gold rare
FUT 21 ICONS,Italy,Icons,Gianluca Zambrotta,86,RWB,710K,icon gold rare
FC Bayern,Germany,Bundesliga,Thomas Müller,86,CAM,25.5K,gold rare
Leicester City,England,Premier League,Jamie Vardy,86,ST,26.25K,gold rare
Manchester Utd,France,Premier League,Paul Pogba,86,CM,44.25K,gold rare
Paris SG,Italy,Ligue 1 Conforama,Marco Verratti,86,CM,28K,gold rare
FC Barcelona,Spain,LaLiga Santander,Piqué,86,CB,28.75K,gold rare
Atalanta,Argentina,Serie A TIM,Alejandro Gómez,86,CAM,28.75K,gold rare
Liverpool,England,Premier League,Jordan Henderson,86,CDM,26K,gold rare
Real Madrid,Spain,LaLiga Santander,Carvajal,86,RB,26K,gold rare
Dortmund,Germany,Bundesliga,Mats Hummels,86,CB,27.5K,gold rare
Real Sociedad,Spain,LaLiga Santander,David Silva,86,CAM,24.5K,gold rare
Manchester Utd,Spain,Premier League,De Gea,86,GK,24.25K,gold rare
Real Madrid,France,LaLiga Santander,Raphaël Varane,86,CB,117K,gold rare
FC Barcelona,Spain,LaLiga Santander,Jordi Alba,86,LB,26.5K,gold rare
M'gladbach,Switzerland,Bundesliga,Yann Sommer,86,GK,23K,gold rare
FUT 21 ICONS,Czech Republic,Icons,Petr Cech,86,GK,288K,icon gold rare
Chelsea,Germany,Premier League,Timo Werner,86,ST,336K,otw gold rare
Chelsea,Morocco,Premier League,Hakim Ziyech,86,CAM,44.5K,otw gold rare
Inter,Morocco,Serie A TIM,Achraf Hakimi,86,RM,46.75K,otw gold rare
AS Monaco,France,Ligue 1 Conforama,Wissam Ben Yedder,86,ST,232K,if gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,86,ST,94K,if gold rare
Arsenal,Ghana,Premier League,Thomas Partey,86,CM,56.5K,otw gold rare
Chelsea,Brazil,Premier League,Thiago Silva,86,CB,11.6K,otw gold rare
FC Barcelona,Spain,LaLiga Santander,Ansu Fati,86,LW,174.05K,potm_laliga gold rare
Dortmund,Belgium,Bundesliga,Axel Witsel,86,CM,134.75K,sbc_flashback gold rare
Arsenal,Ghana,Premier League,Thomas Partey,86,CM,57K,if gold rare
