club,nation,league,name,rating,position,price,card_types
FUT 21 ICONS,Italy,Icons,Gennaro Gattuso,89,CDM,355K,icon gold rare
FUT 21 ICONS,Italy,Icons,Roberto Baggio,89,CF,364K,icon gold rare
FUT 21 ICONS,Germany,Icons,Michael Ballack,89,CM,629K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Kaká,89,CAM,680K,icon gold rare
FUT 21 ICONS,England,Icons,John Barnes,89,LW,445K,icon gold rare
FUT 21 ICONS,Mexico,Icons,Hugo Sánchez,89,ST,405K,icon gold rare
FUT 21 ICONS,Côte d'Ivoire,Icons,Didier Drogba,89,ST,506K,icon gold rare
FUT 21 ICONS,Wales,Icons,Ian Rush,89,ST,170K,icon gold rare
FUT 21 ICONS,England,Icons,Ian Wright,89,ST,292K,icon gold rare
FUT 21 ICONS,Italy,Icons,Gianluca Zambrotta,89,RB,853K,icon gold rare
FUT 21 ICONS,Argentina,Icons,Riquelme,89,CAM,186K,icon gold rare
Manchester City,Argentina,Premier League,Sergio Agüero,89,ST,53K,gold rare
Real Madrid,Spain,LaLiga Santander,Sergio Ramos,89,CB,53.5K,gold rare
FC Bayern,Germany,Bundesliga,Manuel Neuer,89,GK,51.5K,gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,89,CF,53K,gold rare
Real Madrid,Brazil,LaLiga Santander,Casemiro,89,CDM,53.5K,gold rare
Real Madrid,Belgium,LaLiga Santander,Thibaut Courtois,89,GK,54K,gold rare
FUT 21 ICONS,Germany,Icons,Philipp Lahm,89,CDM,1.33M,icon gold rare
FUT 21 ICONS,Hungary,Icons,Ferenc Puskás,89,CF,1.95M,icon gold rare
FUT 21 ICONS,Germany,Icons,Bastian Schweinsteiger,89,CM,394K,icon gold rare
FUT 21 ICONS,England,Icons,Ashley Cole,89,LB,705K,icon gold rare
Spurs,England,Premier League,Harry Kane,89,ST,88K,if gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Luis Suárez,89,ST,79.5K,otw gold rare
Real Madrid,Spain,LaLiga Santander,Sergio Ramos,89,CB,55.5K,ucl_rare gold rare
Real Madrid,Brazil,LaLiga Santander,Casemiro,89,CDM,53.5K,ucl_rare gold rare
Real Madrid,Belgium,LaLiga Santander,Thibaut Courtois,89,GK,53K,ucl_rare gold rare
Real Madrid,France,LaLiga Santander,Karim Benzema,89,CF,52K,ucl_rare gold rare
FC Bayern,Germany,Bundesliga,Manuel Neuer,89,GK,51.5K,ucl_rare gold rare
Manchester City,Argentina,Premier League,Sergio Agüero,89,ST,53K,ucl_rare gold rare
Manchester City,Brazil,Premier League,Ederson,89,GK,134K,if gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,89,CDM,100K,if gold rare
FC Barcelona,France,LaLiga Santander,Antoine Griezmann,89,ST,281K,ucl_live gold rare
Arsenal,Gabon,Premier League,Aubameyang,89,ST,1.14M,europa_live gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,89,CAM,644K,if gold rare
